No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,datetime,Air_Quality_Category
1,2013,3,1,0,8.0,8.0,6.0,28.0,400.0,52.0,-0.7,1023.0,-18.8,0.0,NNW,4.4,Wanliu,2013-03-01 00:00:00,Good
2,2013,3,1,1,9.0,9.0,6.0,28.0,400.0,50.0,-1.1,1023.2,-18.2,0.0,N,4.7,Wanliu,2013-03-01 01:00:00,Good
3,2013,3,1,2,3.0,6.0,6.0,19.0,400.0,55.0,-1.1,1023.5,-18.2,0.0,NNW,5.6,Wanliu,2013-03-01 02:00:00,Good
4,2013,3,1,3,11.0,30.0,8.0,14.0,400.0,55.0,-1.4,1024.5,-19.4,0.0,NW,3.1,Wanliu,2013-03-01 03:00:00,Good
5,2013,3,1,4,3.0,13.0,9.0,14.0,300.0,54.0,-2.0,1025.2,-19.5,0.0,N,2.0,Wanliu,2013-03-01 04:00:00,Good
6,2013,3,1,5,3.0,6.0,8.0,17.0,300.0,54.0,-2.2,1025.6,-19.6,0.0,N,3.7,Wanliu,2013-03-01 05:00:00,Good
7,2013,3,1,6,3.0,3.0,10.0,21.0,300.0,52.0,-2.6,1026.5,-19.1,0.0,NNE,2.5,Wanliu,2013-03-01 06:00:00,Good
8,2013,3,1,7,3.0,6.0,11.0,26.0,300.0,47.0,-1.6,1027.4,-19.1,0.0,NNW,3.8,Wanliu,2013-03-01 07:00:00,Good
9,2013,3,1,8,7.0,10.0,14.0,39.0,400.0,36.0,0.1,1028.3,-19.2,0.0,NNW,4.1,Wanliu,2013-03-01 08:00:00,Good
10,2013,3,1,9,3.0,9.0,12.0,31.0,400.0,46.0,1.2,1028.5,-19.3,0.0,N,2.6,Wanliu,2013-03-01 09:00:00,Good
11,2013,3,1,10,3.0,8.0,12.0,30.0,400.0,49.0,1.9,1028.2,-19.4,0.0,NNW,3.6,Wanliu,2013-03-01 10:00:00,Good
12,2013,3,1,11,3.0,6.0,10.0,26.0,300.0,54.0,2.9,1028.2,-20.5,0.0,N,3.7,Wanliu,2013-03-01 11:00:00,Good
13,2013,3,1,12,6.0,9.0,11.0,22.0,300.0,57.0,3.9,1027.3,-19.7,0.0,NNW,5.1,Wanliu,2013-03-01 12:00:00,Good
14,2013,3,1,13,10.0,18.0,10.0,20.0,300.0,60.0,5.3,1026.2,-19.3,0.0,NW,4.3,Wanliu,2013-03-01 13:00:00,Good
15,2013,3,1,14,10.0,15.0,10.0,22.0,300.0,60.0,6.0,1025.9,-19.6,0.0,NW,4.4,Wanliu,2013-03-01 14:00:00,Good
16,2013,3,1,15,7.0,15.0,9.0,22.0,300.0,61.0,6.2,1025.7,-18.6,0.0,NNE,2.8,Wanliu,2013-03-01 15:00:00,Good
17,2013,3,1,16,12.0,22.0,10.0,25.0,300.0,59.0,5.9,1025.6,-18.1,0.0,NNW,3.9,Wanliu,2013-03-01 16:00:00,Good
18,2013,3,1,17,13.0,23.0,10.0,26.0,300.0,58.0,4.3,1026.3,-18.7,0.0,NNE,2.8,Wanliu,2013-03-01 17:00:00,Good
19,2013,3,1,18,11.0,25.0,12.0,32.0,400.0,49.0,3.1,1027.4,-18.4,0.0,NNE,2.1,Wanliu,2013-03-01 18:00:00,Good
20,2013,3,1,19,11.0,17.0,13.0,53.0,600.0,30.0,2.3,1028.3,-18.4,0.0,N,2.8,Wanliu,2013-03-01 19:00:00,Good
21,2013,3,1,20,9.0,19.0,14.0,55.0,500.0,28.0,1.7,1029.1,-17.3,0.0,N,2.1,Wanliu,2013-03-01 20:00:00,Good
22,2013,3,1,21,14.0,17.0,16.0,57.0,600.0,25.0,0.6,1030.1,-16.7,0.0,ENE,0.8,Wanliu,2013-03-01 21:00:00,Good
23,2013,3,1,22,15.0,20.0,17.0,71.0,700.0,8.0,0.9,1030.5,-17.4,0.0,ENE,1.8,Wanliu,2013-03-01 22:00:00,Good
24,2013,3,1,23,15.0,29.0,30.0,62.0,600.0,22.0,-0.2,1030.5,-17.4,0.0,ENE,1.4,Wanliu,2013-03-01 23:00:00,Good
25,2013,3,2,0,15.0,2.0,20.0,61.0,600.0,24.0,-0.4,1031.0,-17.6,0.0,ENE,1.4,Wanliu,2013-03-02 00:00:00,Good
26,2013,3,2,1,4.0,12.0,16.0,52.0,500.0,34.0,-1.0,1031.3,-17.3,0.0,NNE,1.1,Wanliu,2013-03-02 01:00:00,Good
27,2013,3,2,2,12.0,12.0,16.0,52.0,400.0,32.0,-1.5,1030.9,-16.9,0.0,E,1.7,Wanliu,2013-03-02 02:00:00,Good
28,2013,3,2,3,3.0,9.0,16.0,53.0,400.0,30.0,-1.4,1030.6,-17.6,0.0,NNE,1.4,Wanliu,2013-03-02 03:00:00,Good
29,2013,3,2,4,3.0,6.0,12.0,53.0,400.0,31.0,-1.5,1030.8,-17.7,0.0,NNW,0.9,Wanliu,2013-03-02 04:00:00,Good
30,2013,3,2,5,3.0,6.0,26.0,66.0,500.0,15.0,-1.8,1030.1,-17.5,0.0,NNE,2.0,Wanliu,2013-03-02 05:00:00,Good
31,2013,3,2,6,4.0,12.0,26.0,71.0,600.0,8.0,-2.5,1029.6,-17.7,0.0,NW,0.7,Wanliu,2013-03-02 06:00:00,Good
32,2013,3,2,7,3.0,14.0,46.0,72.0,600.0,10.0,-1.7,1029.8,-17.0,0.0,NE,1.2,Wanliu,2013-03-02 07:00:00,Good
33,2013,3,2,8,3.0,6.0,40.0,68.0,600.0,15.0,-0.4,1029.6,-17.6,0.0,NE,1.8,Wanliu,2013-03-02 08:00:00,Good
34,2013,3,2,9,3.0,12.0,28.0,66.0,600.0,19.0,0.6,1029.7,-16.7,0.0,NE,1.7,Wanliu,2013-03-02 09:00:00,Good
35,2013,3,2,10,3.0,10.0,31.0,72.0,600.0,14.0,1.7,1028.9,-16.3,0.0,W,1.6,Wanliu,2013-03-02 10:00:00,Good
36,2013,3,2,11,6.0,13.0,23.0,74.0,700.0,12.0,2.2,1028.2,-16.8,0.0,SSW,3.1,Wanliu,2013-03-02 11:00:00,Good
37,2013,3,2,12,16.0,18.0,24.0,73.0,800.0,17.0,2.7,1027.3,-16.4,0.0,WSW,2.7,Wanliu,2013-03-02 12:00:00,Good
38,2013,3,2,13,19.0,27.0,28.0,68.0,700.0,25.0,3.3,1025.7,-16.4,0.0,W,1.5,Wanliu,2013-03-02 13:00:00,Good
39,2013,3,2,14,32.0,36.0,23.0,63.0,700.0,31.0,3.8,1024.8,-16.0,0.0,SE,1.3,Wanliu,2013-03-02 14:00:00,Good
40,2013,3,2,15,31.0,37.0,24.0,65.0,800.0,33.0,3.9,1024.1,-16.5,0.0,WNW,1.2,Wanliu,2013-03-02 15:00:00,Good
41,2013,3,2,16,34.0,42.0,32.0,73.0,1100.0,27.0,3.5,1023.6,-15.2,0.0,WSW,2.5,Wanliu,2013-03-02 16:00:00,Good
42,2013,3,2,17,47.0,70.0,41.0,80.0,1100.0,21.0,2.2,1023.4,-13.6,0.0,SSE,0.4,Wanliu,2013-03-02 17:00:00,Moderate
43,2013,3,2,18,58.0,83.0,49.0,85.0,1100.0,15.0,1.2,1023.2,-12.3,0.0,W,0.9,Wanliu,2013-03-02 18:00:00,Moderate
44,2013,3,2,19,65.0,94.0,51.0,94.0,1200.0,3.0,1.5,1022.9,-13.8,0.0,NE,1.2,Wanliu,2013-03-02 19:00:00,Moderate
45,2013,3,2,20,78.0,108.0,55.0,101.0,1500.0,2.0,1.2,1022.9,-14.1,0.0,NNE,1.2,Wanliu,2013-03-02 20:00:00,Unhealthy
46,2013,3,2,21,84.0,122.0,68.0,103.0,2200.0,2.0,0.6,1022.6,-14.2,0.0,NE,1.3,Wanliu,2013-03-02 21:00:00,Unhealthy
47,2013,3,2,22,88.0,132.0,65.0,104.0,2000.0,2.0,-0.6,1022.3,-13.9,0.0,NNE,1.4,Wanliu,2013-03-02 22:00:00,Unhealthy
48,2013,3,2,23,84.0,116.0,62.0,100.0,2100.0,2.0,-0.8,1021.1,-13.4,0.0,N,1.3,Wanliu,2013-03-02 23:00:00,Unhealthy
49,2013,3,3,0,88.0,127.0,69.0,98.0,2799.0,2.0,-1.4,1020.4,-13.0,0.0,NNE,1.2,Wanliu,2013-03-03 00:00:00,Unhealthy
50,2013,3,3,1,104.0,145.0,78.0,97.0,3000.0,2.0,-2.0,1019.4,-13.2,0.0,NE,1.2,Wanliu,2013-03-03 01:00:00,Unhealthy
51,2013,3,3,2,106.0,142.0,72.0,94.0,2899.0,2.0,-2.8,1018.3,-12.3,0.0,NE,1.4,Wanliu,2013-03-03 02:00:00,Unhealthy
52,2013,3,3,3,96.0,147.0,55.0,88.0,2799.0,2.0,-2.6,1017.2,-13.2,0.0,NE,1.2,Wanliu,2013-03-03 03:00:00,Unhealthy
53,2013,3,3,4,89.0,130.0,54.0,88.0,2500.0,2.0,-4.3,1016.9,-11.8,0.0,NNE,0.9,Wanliu,2013-03-03 04:00:00,Unhealthy
54,2013,3,3,5,79.0,102.0,48.0,89.0,2299.0,2.0,-5.6,1016.3,-10.9,0.0,N,0.8,Wanliu,2013-03-03 05:00:00,Unhealthy
55,2013,3,3,6,81.0,107.0,50.0,86.0,2899.0,2.0,-5.8,1016.2,-11.0,0.0,NNE,0.8,Wanliu,2013-03-03 06:00:00,Unhealthy
56,2013,3,3,7,90.0,140.0,45.0,83.0,3799.0,2.0,-3.1,1016.5,-11.1,0.0,NE,1.5,Wanliu,2013-03-03 07:00:00,Unhealthy
57,2013,3,3,8,100.0,171.0,51.0,82.0,4400.0,2.0,0.7,1016.2,-13.0,0.0,NNE,2.3,Wanliu,2013-03-03 08:00:00,Unhealthy
58,2013,3,3,9,108.0,181.0,97.0,89.0,3299.0,2.0,3.5,1015.8,-13.8,0.0,NNE,0.4,Wanliu,2013-03-03 09:00:00,Unhealthy
59,2013,3,3,10,100.0,147.0,90.0,94.0,2600.0,2.0,6.5,1014.9,-13.2,0.0,N,1.3,Wanliu,2013-03-03 10:00:00,Unhealthy
60,2013,3,3,11,97.0,135.0,78.0,98.0,2399.0,2.0,11.4,1013.8,-10.8,0.0,ESE,0.9,Wanliu,2013-03-03 11:00:00,Unhealthy
61,2013,3,3,12,101.0,134.0,79.0,109.0,2500.0,2.0,13.8,1012.5,-13.3,0.0,W,1.1,Wanliu,2013-03-03 12:00:00,Unhealthy
62,2013,3,3,13,107.0,147.0,60.0,102.0,1899.0,11.0,16.0,1011.5,-13.5,0.0,W,5.9,Wanliu,2013-03-03 13:00:00,Unhealthy
63,2013,3,3,14,84.0,114.0,25.0,67.0,900.0,40.0,16.7,1010.8,-14.0,0.0,WNW,4.3,Wanliu,2013-03-03 14:00:00,Unhealthy
64,2013,3,3,15,43.0,82.0,15.0,49.0,600.0,53.0,16.9,1010.5,-12.7,0.0,WNW,2.0,Wanliu,2013-03-03 15:00:00,Moderate
